pc,level,timeout,call,processArgument,fonte_oracolo,oracolo,nota
null,noto,altro negativo,null,--,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)",corretto: lock ritorna senza lanciare eccezione ne' applicare il lock
null,noto,altro negativo,non null,azione,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)",corretto: lock ritorna senza lanciare eccezione ne' applicare il lock
null,noto,altro negativo,non null,eccezione,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)","corretto: pc=null intercettato prima che processArgument venga invocato, l'eccezione non si propaga mai"
null,noto,-1,null,--,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)",corretto: lock ritorna senza lanciare eccezione ne' applicare il lock
null,noto,-1,non null,azione,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)",corretto: lock ritorna senza lanciare eccezione ne' applicare il lock
null,noto,-1,non null,eccezione,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)","corretto: pc=null intercettato prima che processArgument venga invocato, l'eccezione non si propaga mai"
null,noto,0,null,--,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)",corretto: lock ritorna senza lanciare eccezione ne' applicare il lock
null,noto,0,non null,azione,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)",corretto: lock ritorna senza lanciare eccezione ne' applicare il lock
null,noto,0,non null,eccezione,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)","corretto: pc=null intercettato prima che processArgument venga invocato, l'eccezione non si propaga mai"
null,noto,positivo,null,--,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)",corretto: lock ritorna senza lanciare eccezione ne' applicare il lock
null,noto,positivo,non null,azione,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)",corretto: lock ritorna senza lanciare eccezione ne' applicare il lock
null,noto,positivo,non null,eccezione,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)","corretto: pc=null intercettato prima che processArgument venga invocato, l'eccezione non si propaga mai"
null,non noto,altro negativo,null,--,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)",corretto: lock ritorna senza lanciare eccezione ne' applicare il lock
null,non noto,altro negativo,non null,azione,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)",corretto: lock ritorna senza lanciare eccezione ne' applicare il lock
null,non noto,altro negativo,non null,eccezione,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)","corretto: pc=null intercettato prima che processArgument venga invocato, l'eccezione non si propaga mai"
null,non noto,-1,null,--,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)",corretto: lock ritorna senza lanciare eccezione ne' applicare il lock
null,non noto,-1,non null,azione,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)",corretto: lock ritorna senza lanciare eccezione ne' applicare il lock
null,non noto,-1,non null,eccezione,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)","corretto: pc=null intercettato prima che processArgument venga invocato, l'eccezione non si propaga mai"
null,non noto,0,null,--,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)",corretto: lock ritorna senza lanciare eccezione ne' applicare il lock
null,non noto,0,non null,azione,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)",corretto: lock ritorna senza lanciare eccezione ne' applicare il lock
null,non noto,0,non null,eccezione,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)","corretto: pc=null intercettato prima che processArgument venga invocato, l'eccezione non si propaga mai"
null,non noto,positivo,null,--,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)",corretto: lock ritorna senza lanciare eccezione ne' applicare il lock
null,non noto,positivo,non null,azione,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)",corretto: lock ritorna senza lanciare eccezione ne' applicare il lock
null,non noto,positivo,non null,eccezione,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)","corretto: pc=null intercettato prima che processArgument venga invocato, l'eccezione non si propaga mai"
non gestito,noto,altro negativo,null,--,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)",corretto: lock ritorna senza lanciare eccezione ne' applicare il lock
non gestito,noto,altro negativo,non null,azione,osservazione,"nessun effetto (nessuna eccezione, getLockLevel(pc) == LOCK_NONE)",corretto: lock ritorna senza lanciare eccezione ne' applicare il lock
non gestito,noto,altro negativo,non null,eccezione,inferenza,eccezione propagata da lock,l'eccezione di processArgument si propaga
