objs,copyNew,call,processArgument,fonte_oracolo,oracolo,nota
null,true,null,--,osservazione,attachAll ritorna null,"corretto: objs==null ritorna null direttamente, nessuna eccezione lanciata"
null,true,non null,azione,osservazione,attachAll ritorna null,"corretto: objs==null ritorna null prima di consultare call, indipendentemente dal codice azione"
null,true,non null,eccezione,osservazione,attachAll ritorna null,"corretto: objs==null ritorna null prima di invocare processArgument, l'eccezione non viene mai lanciata"
null,false,null,--,osservazione,attachAll ritorna null,"corretto: objs==null ritorna null direttamente, nessuna eccezione lanciata"
null,false,non null,azione,osservazione,attachAll ritorna null,"corretto: objs==null ritorna null prima di consultare call, indipendentemente dal codice azione"
null,false,non null,eccezione,osservazione,attachAll ritorna null,"corretto: objs==null ritorna null prima di invocare processArgument, l'eccezione non viene mai lanciata"
vuota,true,null,--,inferenza,array vuoto,@return al plurale: si assume un array vuoto
vuota,true,non null,azione,ipotesi,array vuoto,il codice azione non ha effetto noto: resta un array vuoto
vuota,true,non null,eccezione,osservazione,array vuoto,"corretto: la collezione vuota non viene mai iterata, processArgument non e' mai invocato"
vuota,false,null,--,inferenza,array vuoto,@return al plurale: si assume un array vuoto
vuota,false,non null,azione,ipotesi,array vuoto,il codice azione non ha effetto noto: resta un array vuoto
vuota,false,non null,eccezione,osservazione,array vuoto,"corretto: la collezione vuota non viene mai iterata, processArgument non e' mai invocato"
all new,true,null,--,diretto,"istanza persistita come nuova, copia dell'originale",documentato: ramo nuovo + copyNew
all new,true,non null,azione,osservazione,elemento invariato (nessun attach eseguito),"corretto: ACT_NONE (rappresentante) non ha il bit ACT_RUN, l'elemento e' restituito cosi' com'e'"
all new,true,non null,eccezione,inferenza,eccezione propagata da attachAll,l'eccezione di processArgument si propaga
all new,false,null,--,diretto,"istanza persistita come nuova, non copiata",documentato: ramo nuovo + copyNew
all new,false,non null,azione,osservazione,elemento invariato (nessun attach eseguito),"corretto: ACT_NONE (rappresentante) non ha il bit ACT_RUN, l'elemento e' restituito cosi' com'e'"
all new,false,non null,eccezione,inferenza,eccezione propagata da attachAll,l'eccezione di processArgument si propaga
all old,true,null,--,diretto,istanza persistente esistente con le modifiche mergiate,documentato: ramo merge esplicito
all old,true,non null,azione,osservazione,elemento invariato (nessun attach eseguito),"corretto: ACT_NONE (rappresentante) non ha il bit ACT_RUN, l'elemento e' restituito cosi' com'e'"
all old,true,non null,eccezione,inferenza,eccezione propagata da attachAll,l'eccezione di processArgument si propaga
all old,false,null,--,diretto,istanza persistente esistente con le modifiche mergiate,documentato: ramo merge esplicito
all old,false,non null,azione,osservazione,elemento invariato (nessun attach eseguito),"corretto: ACT_NONE (rappresentante) non ha il bit ACT_RUN, l'elemento e' restituito cosi' com'e'"
all old,false,non null,eccezione,inferenza,eccezione propagata da attachAll,l'eccezione di processArgument si propaga
all attached,true,null,--,osservazione,"istanza persistita come nuova, copia dell'originale","corretto: nessun ramo del codice tratta un'istanza gia' gestita come no-op, viene trattata come new (isNew=true)"
all attached,true,non null,azione,osservazione,elemento invariato (nessun attach eseguito),"corretto: ACT_NONE (rappresentante) non ha il bit ACT_RUN, l'elemento e' restituito cosi' com'e' (coincide con l'ipotesi originale solo per l'esito, non per la causa)"
all attached,true,non null,eccezione,inferenza,eccezione propagata da attachAll,l'eccezione di processArgument si propaga
all attached,false,null,--,osservazione,"istanza persistita come nuova, non copiata","corretto: nessun ramo del codice tratta un'istanza gia' gestita come no-op, viene trattata come new (isNew=true); con copyNew=false il risultato coincide comunque con l'originale"
all attached,false,non null,azione,osservazione,elemento invariato (nessun attach eseguito),"corretto: ACT_NONE (rappresentante) non ha il bit ACT_RUN, l'elemento e' restituito cosi' com'e'"
all attached,false,non null,eccezione,inferenza,eccezione propagata da attachAll,l'eccezione di processArgument si propaga
misti: validi eterogenei,true,null,--,inferenza,"ogni elemento segue il proprio ramo secondo il tipo: new -> persistito come nuovo, copia dell'originale; old -> istanza persistente aggiornata con le modifiche mergiate; attached -> nessuna modifica",elaborazione per elemento assunta indipendente: ciascuno segue il proprio ramo documentato secondo il tipo (composizione esatta: scelta implementativa, non BVA)
misti: validi eterogenei,true,non null,azione,osservazione,entrambi gli elementi invariati (nessun attach eseguito),"corretto: ACT_NONE (rappresentante) non ha il bit ACT_RUN, nessun elemento viene processato"
misti: validi eterogenei,true,non null,eccezione,osservazione,"UserException con le eccezioni di processArgument (una per elemento) annidate, non la stessa istanza","corretto: AttachManager accumula un'eccezione per ciascun elemento che fallisce e le avvolge in un'unica UserException quando sono piu' di una"
misti: validi eterogenei,false,null,--,inferenza,"ogni elemento segue il proprio ramo secondo il tipo: new -> persistito come nuovo, non copiato; old -> istanza persistente aggiornata con le modifiche mergiate; attached -> nessuna modifica",elaborazione per elemento assunta indipendente: ciascuno segue il proprio ramo documentato secondo il tipo (composizione esatta: scelta implementativa, non BVA)
misti: validi eterogenei,false,non null,azione,osservazione,entrambi gli elementi invariati (nessun attach eseguito),"corretto: ACT_NONE (rappresentante) non ha il bit ACT_RUN, nessun elemento viene processato"
misti: validi eterogenei,false,non null,eccezione,osservazione,"UserException con le eccezioni di processArgument (una per elemento) annidate, non la stessa istanza","corretto: AttachManager accumula un'eccezione per ciascun elemento che fallisce e le avvolge in un'unica UserException quando sono piu' di una"
misti: almeno 1 invalido,true,null,--,ipotesi,eccezione (tipo non specificato),"atomicita' non documentata: si assume che un solo invalido faccia fallire tutto, indipendentemente da quanti validi (anche zero) lo accompagnino"
misti: almeno 1 invalido,true,non null,azione,osservazione,entrambi gli elementi invariati (nessun attach eseguito),"corretto: ACT_NONE (rappresentante) non ha il bit ACT_RUN, nessun elemento viene processato, l'elemento invalido non viene mai raggiunto"
misti: almeno 1 invalido,true,non null,eccezione,osservazione,"UserException con le eccezioni di processArgument (una per elemento) annidate, non la stessa istanza","corretto: AttachManager accumula un'eccezione per ciascun elemento che fallisce e le avvolge in un'unica UserException quando sono piu' di una"
misti: almeno 1 invalido,false,null,--,ipotesi,eccezione (tipo non specificato),"atomicita' non documentata: si assume che un solo invalido faccia fallire tutto, indipendentemente da quanti validi (anche zero) lo accompagnino"
misti: almeno 1 invalido,false,non null,azione,osservazione,entrambi gli elementi invariati (nessun attach eseguito),"corretto: ACT_NONE (rappresentante) non ha il bit ACT_RUN, nessun elemento viene processato, l'elemento invalido non viene mai raggiunto"
misti: almeno 1 invalido,false,non null,eccezione,osservazione,"UserException con le eccezioni di processArgument (una per elemento) annidate, non la stessa istanza","corretto: AttachManager accumula un'eccezione per ciascun elemento che fallisce e le avvolge in un'unica UserException quando sono piu' di una"
